No,Title,Short description,Image Link,Image caption
SF1,நாக்பூர்,"நாக்பூர் (முன்னாள் நக்புரெ), இந்திய மாநிலமான மகாராஷ்டிராவின் மூன்றாவது பெரிய நகரம் மற்றும் குளிர்காலத் தலைநகர். இது மக்கள் தொகையில் 13 ஆவது பெரிய இந்திய நகரமாகும்.",https://en.wikipedia.org/wiki/Nagpur#/media/File:Diksha_Bhumi.jpg,தீக்‌ஷ பூமி
SF2,புனே,"புனே மகாராஷ்டிராவின் கலாச்சார தலைநகரமாகக் கருதப்படுகிறது. பல நன்கு அறியப்பட்ட கல்வி நிறுவனங்கள் இருப்பதால் இது ""கிழக்கின் ஆக்ஸ்போர்டு"" என்றும் அழைக்கப்படுகிறது.","https://commons.wikimedia.org/wiki/%E0%A4%AA%E0%A5%81%E0%A4%A3%E0%A5%87#/media/File:Shaniwar_Wada_fort,_Pune.jpg",சனிவார் வாடா
SF3,அகமதாபாத்,"அகமதாபாத் இந்திய மாநிலமான குஜராத்தின் மிகப்பெரிய நகரமாகும் மற்றும் குஜராத்தின் முன்னாள் தலைநகராகும். அகமதாபாத்தில் கிரிக்கெட் ஒரு பிரபலமான விளையாட்டு ஆகும், இங்கு 54,000 இருக்கை கொண்ட சர்தார் பட்டேல் ஸ்டேடியம் உள்ளது.",https://en.wikipedia.org/wiki/Ahmedabad#/media/File:Sheth_Hutheesinh_Temple.jpg,சேத் ஹதீஸின் கோவில்
SF4,சூரத்,"சூரத் இந்திய மாநிலமான குஜராத்தின் ஒரு நகரமாகும். இது ஒரு பெரிய துறைமுகமாகவும், இப்போது வைர வெட்டுதல் மற்றும் பட்டைத்தீட்டல் மையமாகவும் உள்ளது.",https://en.wikipedia.org/wiki/Surat#/media/File:Diamond_Polisher.jpg,வைர பட்டைத்தீட்டுநர்
SF5,ஜின்ட்,"முதல் சீக்கிய ராஜ்யங்களில் ஒன்றான ஜின்ட் ஹரியானாவின் மையத்தில் உள்ளது, மேலும் இது ஜாட் பெல்ட்டின் நான்காவது மாவட்டமாகும்.",https://en.wikipedia.org/wiki/Jind#/media/File:RaniTalab.png,ராணி தலாப் கோவில்
SF6,கான்பூர்,உத்தரபிரதேச மாநிலத்தில் ஒரு பெரிய நகரமாக கான்பூர் (முன்னாள் காவ்ன்பூரெ) உள்ளது. தோல் மற்றும் ஆடை தொழில்களுக்கு இந்நகரம் பிரபலமானது.,https://en.wikipedia.org/wiki/Kanpur#/media/File:Kanpur_Central_Station.jpg,கான்பூர் சென்ட்ரல் ஸ்டேஷன்
SF7,அம்ரோஹா,உத்தரப்பிரதேசத்தில் உள்ள 80 பாராளுமன்ற (நாடாளுமன்ற) தொகுதிகளில் அம்ரோஹா பாராளுமன்ற தொகுதியும் ஒன்றாகும்.,https://commons.wikimedia.org/wiki/Category:Amroha#/media/File:Azakhana_wazeer_un_nisa.jpg,"அம்ரோஹா உத்தர பிரதேசம், இந்தியா,
அசகானாவின் முன்பு ஒட்டகங்கள் மீது குழந்தைகள்"
SF8,மங்களூர்,"மங்களூரூ என்று அழைக்கப்படும் மங்களூர், இந்திய மாநிலமான கர்நாடகத்தின் முக்கிய துறைமுக நகரமாகும். விமானம், சாலை, இரயில் மற்றும் கடல் என கர்நாடகாவில் அனைத்து வகையான போக்குவரத்துகளையும் கொண்ட ஒரே நகரமாக இது உள்ளது.",https://commons.wikimedia.org/wiki/Mangalore#/media/File:Ullal_Bridge_Mangalore.JPG,"உல்லால் பாலம், மங்களூர்"
SF9,தூத்துக்குடி,"டூடிகோரின் என்றும் அழைக்கப்படுகிற தூத்துக்குடி, இந்திய மாநிலமான தமிழ்நாட்டில் உள்ள ஒரு துறைமுக நகரமாகும். தூத்துக்குடியில் உள்ள முக்கியமான துறைமுகம் ஒரு முத்து குளிக்கும் மற்றும் மீன்பிடிக்கும் மையமாக அறியப்படுகிறது.",https://en.wikipedia.org/wiki/Thoothukudi#/media/File:Tuticorin_Thermal_Power_Station_at_Night_1_crop.jpg,தூத்துக்குடி அனல் மின் நிலையம்
SF10,கேப் டவுன்,"கேப் டவுன், தென்னாப்பிரிக்காவின் பழமையான நகரம் ஆகும், இது பேச்சு வழக்கில் தாய் நகரம் என்றழைக்கப்படுகிறது.",https://en.wikipedia.org/wiki/Cape_Town#/media/File:Clifton_Beachs.jpg,கேப் டவுனிலுள்ள கிளிஃப்டன் கடற்கரைகள்
