Article Link ID,Articles,Name of tournament,Wikipedia link of the Tournament,Header  image ,Short summary of the article,Dates,Format,Champion,Champion Link,Runners Up,Runners Up Link,No of Teams,Host 1,Host 1 Card,Host 2,Host 2 Card,Host 3,Host 3 Card,Tournament year 1,Tournament Year 1 Card,Hosts,Winners,Winner Card,Runners,Tournament year 2,Tournament Year 2 Card,Hosts,Winners,Winner Card,Runners,Tournament year 3,Tournament Year 3 Card,Hosts,Winners ,Winner Card,Runners,Tournament year 4,Tournament Year 4 Card,Hosts,Winners,Winner Card,Runners,Tournament year 5,Tournament Year 5 Card,Hosts,Winners,Winner Card,Runners,Tournament year 6,Tournament Year 6 Card,Hosts,Winners,Winner Card,Runners,Tournament year 7,Tournament year 7 Card,Hosts,Winners,Winner Card,Runners,Tournament year 8,Tournament year 8 Card,Hosts,Winners,Winner Card,Runners,Tournament year 9,Tournament Year 9 Card,Hosts,Winners,Winner Card,Runners,Tournament year 10,Tournament Year 10 Card,Hosts,Winners,Winner Card,Runners,Tournament year 11,Tournament Year 11 Card,Hosts,Winners,Winner Card,Runners,Tournament year 12,Tournament Year 12 Card,Hosts,Winners,Winner Card,Runners,Man of the series,Link to the player's image,Country,Most runs scored/ Orange cap,Link to player's image ,Country,Most wickets taken/ purple cap,Link to the players image,Country,Champion Card ID,Runner Up Card ID
P15,"Individual tournament (like IPL 2017, 16, 15, World Cup 2011,15,09... etc)",2017 Indian Premier League,https://en.wikipedia.org/wiki/2017_Indian_Premier_League,https://en.wikipedia.org/wiki/Indian_Premier_League,"The 2017 season of the Indian Premier League, also known as IPL 10 and branded as Vivo IPL 2017, was the tenth edition of the IPL",14 February–29 March,Twenty20,Mumbai Indians (3rd title),R7,Rising Pune Supergiants,,8,Hyderabad,G13,Bangalore,G1,Delhi,G16,2008,P19,नई दिल्ली,राजस्थान रॉयल्स (पहला खिताब),R11,चेन्नई सुपर किंग्स,2009,P20,दक्षिण अफ्रीका,डेक्कन चार्जर्स (पहला खिताब),R12,रॉयल चैलेंजर्स बैंगलोर,2010,P12,भारत,चेन्नई सुपर किंग्स (पहला खिताब),R5,मुंबई इंडियंस,2011,P13,भारत,चेन्नई सुपर किंग्स (दूसरा खिताब),R5,रॉयल चैलेंजर्स बैंगलोर,2012,P21,भारत,कोलकाता नाइट राइडर्स (पहला खिताब),R10,चेन्नई सुपर किंग्स,2013,P22,भारत,मुंबई इंडियंस (पहला खिताब),R7,चेन्नई सुपर किंग्स,2014,P23,"भारत, यूएई",कोलकाता नाइट राइडर्स (दूसरा खिताब),R10,किंग्स इलेवन पंजाब,2015,P24,भारत,मुंबई इंडियंस (दूसरा खिताब),R7,चेन्नई सुपर किंग्स,2016,P14,भारत,सनराइजर्स हैदराबाद (पहला खिताब),R12,रॉयल चैलेंजर्स बैंगलोर,2017,P15,भारत,मुंबई इंडियंस (तीसरा खिताब),R7,राइजिंग पुणे सुपरजायंट,2018,P25,भारत,चेन्नई सुपर किंग्स (तीसरा खिताब),R5,सनराइजर्स हैदराबाद,,,,,,,Ben Stokes,https://en.wikipedia.org/wiki/Ben_Stokes#/media/File:BEN_STOKES_(11704837023)_(cropped).jpg,England,David Warner,https://en.wikipedia.org/wiki/David_Warner_(cricketer)#/media/File:DAVID_WARNER_(11704782453).jpg,Australia,Bhuvneshwar Kumar,https://en.wikipedia.org/wiki/Bhuvneshwar_Kumar#/media/File:Bhuvneshwar_Kumar.jpg,India,R7,
P14,"Individual tournament (like IPL 2017, 16, 15, World Cup 2011,15,09... etc)",2016 इंडियन प्रीमियर लीग,https://en.wikipedia.org/wiki/2016_Indian_Premier_League,https://commons.wikimedia.org/w/index.php?search=ipl+2016&title=Special%3ASearch&profile=advanced&fulltext=1&advancedSearch-current=%7B%7D&ns0=1&ns6=1&ns12=1&ns14=1&ns100=1&ns106=1#/media/File:DY_Patil_IPL.jpg,"The 2016 season of the Indian Premier League, also known as IPL 9, and branded as Vivo IPL 2016 for sponsorship reasons, was the ninth season of the IPL",9 April–29 May,ट्वेंटी-20,सनराइजर्स हैदराबाद (पहला खिताब),R12,रॉयल चैलेंजर्स बैंगलोर,R6,8,बैंगलोर,G1,पुणे,SF2,मुंबई,G2,2008,P19,नई दिल्ली,राजस्थान रॉयल्स (पहला खिताब),R11,चेन्नई सुपर किंग्स,2009,P20,दक्षिण अफ्रीका,डेक्कन चार्जर्स (पहला खिताब),R12,रॉयल चैलेंजर्स बैंगलोर,2010,P12,भारत,चेन्नई सुपर किंग्स (पहला खिताब),R5,मुंबई इंडियंस,2011,P13,भारत,चेन्नई सुपर किंग्स (दूसरा खिताब),R5,रॉयल चैलेंजर्स बैंगलोर,2012,P21,भारत,कोलकाता नाइट राइडर्स (पहला खिताब),R10,चेन्नई सुपर किंग्स,2013,P22,भारत,मुंबई इंडियंस (पहला खिताब),R7,चेन्नई सुपर किंग्स,2014,P23,"भारत, यूएई",कोलकाता नाइट राइडर्स (दूसरा खिताब),R10,किंग्स इलेवन पंजाब,2015,P24,भारत,मुंबई इंडियंस (दूसरा खिताब),R7,चेन्नई सुपर किंग्स,2016,P14,भारत,सनराइजर्स हैदराबाद (पहला खिताब),R12,रॉयल चैलेंजर्स बैंगलोर,2017,P15,भारत,मुंबई इंडियंस (तीसरा खिताब),R7,राइजिंग पुणे सुपरजायंट,2018,P25,भारत,चेन्नई सुपर किंग्स (तीसरा खिताब),R5,सनराइजर्स हैदराबाद,,,,,,,विराट कोहली,https://en.wikipedia.org/wiki/Virat_Kohli,भारत,विराट कोहली,https://en.wikipedia.org/wiki/Virat_Kohli,भारत,भुवनेश्वर कुमार,https://en.wikipedia.org/wiki/Bhuvneshwar_Kumar,भारत,R12,R6
P13,"Individual tournament (like IPL 2017, 16, 15, World Cup 2011,15,09... etc)",2011 इंडियन प्रीमियर लीग,https://en.wikipedia.org/wiki/2011_Indian_Premier_League,https://upload.wikimedia.org/wikipedia/commons/8/88/Ma_ChidambaramStadium_panaroma.jpg,"The 2011 Indian Premier League season, abbreviated as IPL 4 or the IPL 2011, was the fourth season of the Indian Premier League, the top Twenty20 cricket league in India",8 April – 28 May,ट्वेंटी-20,चेन्नई सुपर किंग्स (दूसरा खिताब),R5,रॉयल चैलेंजर्स बैंगलोर,R6,10,चेन्नई,G11,मुंबई,G2,कोच्चि,,2008,P19,नई दिल्ली,राजस्थान रॉयल्स (पहला खिताब),R11,चेन्नई सुपर किंग्स,2009,P20,दक्षिण अफ्रीका,डेक्कन चार्जर्स (पहला खिताब),R12,रॉयल चैलेंजर्स बैंगलोर,2010,P12,भारत,चेन्नई सुपर किंग्स (पहला खिताब),R5,मुंबई इंडियंस,2011,P13,भारत,चेन्नई सुपर किंग्स (दूसरा खिताब),R5,रॉयल चैलेंजर्स बैंगलोर,2012,P21,भारत,कोलकाता नाइट राइडर्स (पहला खिताब),R10,चेन्नई सुपर किंग्स,2013,P22,भारत,मुंबई इंडियंस (पहला खिताब),R7,चेन्नई सुपर किंग्स,2014,P23,"भारत, यूएई",कोलकाता नाइट राइडर्स (दूसरा खिताब),R10,किंग्स इलेवन पंजाब,2015,P24,भारत,मुंबई इंडियंस (दूसरा खिताब),R7,चेन्नई सुपर किंग्स,2016,P14,भारत,सनराइजर्स हैदराबाद (पहला खिताब),R12,रॉयल चैलेंजर्स बैंगलोर,2017,P15,भारत,मुंबई इंडियंस (तीसरा खिताब),R7,राइजिंग पुणे सुपरजायंट,2018,P25,भारत,चेन्नई सुपर किंग्स (तीसरा खिताब),R5,सनराइजर्स हैदराबाद,,,,,,,क्रिस गेल,https://en.wikipedia.org/wiki/Chris_Gayle,भारत,क्रिस गेल,https://en.wikipedia.org/wiki/Chris_Gayle,जमैका,लसिथ मलिंगा,https://en.wikipedia.org/wiki/Lasith_Malinga,श्रीलंका,R5,R6
P12,"Individual tournament (like IPL 2017, 16, 15, World Cup 2011,15,09... etc)",2010 इंडियन प्रीमियर लीग,https://en.wikipedia.org/wiki/2010_Indian_Premier_League,https://www.google.com/search?rlz=1C5CHFA_enUS835US835&biw=1420&bih=725&tbs=sur%3Afmc&tbm=isch&sa=1&ei=2RfCXOmBLuaNlwTwsJSIDg&q=2010+indian+premier+league+final&oq=2010+indian+premier+league%22&gs_l=img.1.0.0j0i30.77233.77233..79183...0.0..0.186.186.0j1......1....1..gws-wiz-img.J5c3PwRgX-o#imgrc=2Dc_0onnI09MTM:,"The 2010 Indian Premier League season, abbreviated as IPL 3 or the 2010 IPL, was the third season of the Indian Premier League",12 March –25 April,डबल राउंड-रॉबिन और नॉकआउट,चेन्नई सुपर किंग्स (पहला खिताब),R5,मुंबई इंडियंस,R7,8,नागपुर,SF1,कटक,,मुंबई,G2,2008,P19,नई दिल्ली,राजस्थान रॉयल्स (पहला खिताब),R11,चेन्नई सुपर किंग्स,2009,P20,दक्षिण अफ्रीका,डेक्कन चार्जर्स (पहला खिताब),R12,रॉयल चैलेंजर्स बैंगलोर,2010,P12,भारत,चेन्नई सुपर किंग्स (पहला खिताब),R5,मुंबई इंडियंस,2011,P13,भारत,चेन्नई सुपर किंग्स (दूसरा खिताब),R5,रॉयल चैलेंजर्स बैंगलोर,2012,P21,भारत,कोलकाता नाइट राइडर्स (पहला खिताब),R10,चेन्नई सुपर किंग्स,2013,P22,भारत,मुंबई इंडियंस (पहला खिताब),R7,चेन्नई सुपर किंग्स,2014,P23,"भारत, यूएई",कोलकाता नाइट राइडर्स (दूसरा खिताब),R10,किंग्स इलेवन पंजाब,2015,P24,भारत,मुंबई इंडियंस (दूसरा खिताब),R7,चेन्नई सुपर किंग्स,2016,P14,भारत,सनराइजर्स हैदराबाद (पहला खिताब),R12,रॉयल चैलेंजर्स बैंगलोर,2017,P15,भारत,मुंबई इंडियंस (तीसरा खिताब),R7,राइजिंग पुणे सुपरजायंट,2018,P25,भारत,चेन्नई सुपर किंग्स (तीसरा खिताब),R5,सनराइजर्स हैदराबाद,,,,,,,लसिथ मलिंगा,https://en.wikipedia.org/wiki/Lasith_Malinga,श्रीलंका,सचिन तेंडुलकर,https://en.wikipedia.org/wiki/Sachin_Tendulkar,भारत,प्रज्ञान ओझा,https://en.wikipedia.org/wiki/Pragyan_Ojha,भारत,R5,R7
P8,"Individual tournament (like IPL 2017, 16, 15, World Cup 2011,15,09... etc)",2015 क्रिकेट विश्व कप,https://en.wikipedia.org/wiki/2015_Cricket_World_Cup,https://en.wikipedia.org/wiki/2015_Cricket_World_Cup#/media/File:2015_Cricket_World_Cup_Logo.svg,"The 2015 ICC Cricket World Cup was the 11th Cricket World Cup, jointly hosted by Australia and New Zealand",14 February–29 March,वन डे इंटरनेशनल,ऑस्ट्रेलिया (पांचवां खिताब),R2,न्यूजीलैंड,R15,14,ऑस्ट्रेलिया,G4,न्यूजीलैंड,G8,,,1975,P26,England,West Indies (1st title),R3,Australia,1979,P27,England,West Indies (2nd title),R3,England,1983,P2,"England, Wales",India (1st title),R1,West Indies,1987,P16,"India, Pakistan",Australia (1st title),R2,England,1992,P17,"Australia, New Zealand",Pakistan (1st title),R8,England,1996,P3,"India, Pakistan, Sri Lanka",Sri Lanka (1st title),R13,Australia,1999,P4,"England, Scotland, Ireland, Netherlands, Wales",Australia (2nd title),R2,Pakistan,2003,P5,"South Africa, Zimbabwe, Kenya",Australia (3rd title),R2,India,2007,P6,West Indies,Australia (4th title),R2,Sri Lanka,2011,P7,"India, Sri Lanka, Bangladesh",India (2nd title),R1,Sri Lanka,2015,P8,"Australia, New Zealand",Australia (5th title),R2,New Zealand,2019,P18,"England, Wales",,,,मिशेल स्टार्क,https://en.wikipedia.org/wiki/Mitchell_Starc,ऑस्ट्रेलिया,मार्टिन गप्टिल,https://en.wikipedia.org/wiki/Martin_Guptill,न्यूजीलैंड,"मिशेल स्टार्क, ट्रेंट बोल्ट",https://en.wikipedia.org/wiki/Mitchell_Starc; https://en.wikipedia.org/wiki/Trent_Boult ,न्यूजीलैंड,R2,R15
P7,"Individual tournament (like IPL 2017, 16, 15, World Cup 2011,15,09... etc)",2011 क्रिकेट विश्व कप,https://en.wikipedia.org/wiki/2011_Cricket_World_Cup,https://en.wikipedia.org/wiki/2011_Cricket_World_Cup#/media/File:2011_Cricket_World_Cup_Logo.svg,"The 2011 ICC Cricket World Cup was the tenth Cricket World Cup. It was played in India, Sri Lanka, and (for the first time) Bangladesh",19 February–2 April,वन डे इंटरनेशनल,भारत (दूसरा खिताब),R1,श्रीलंका,R13,14,भारत,G3,श्रीलंका,G7,बांग्लादेश,,1975,P26,England,West Indies (1st title),R3,Australia,1979,P27,England,West Indies (2nd title),R3,England,1983,P2,"England, Wales",India (1st title),R1,West Indies,1987,P16,"India, Pakistan",Australia (1st title),R2,England,1992,P17,"Australia, New Zealand",Pakistan (1st title),R8,England,1996,P3,"India, Pakistan, Sri Lanka",Sri Lanka (1st title),R13,Australia,1999,P4,"England, Scotland, Ireland, Netherlands, Wales",Australia (2nd title),R2,Pakistan,2003,P5,"South Africa, Zimbabwe, Kenya",Australia (3rd title),R2,India,2007,P6,West Indies,Australia (4th title),R2,Sri Lanka,2011,P7,"India, Sri Lanka, Bangladesh",India (2nd title),R1,Sri Lanka,2015,P8,"Australia, New Zealand",Australia (5th title),R2,New Zealand,2019,P18,,,,,युवराज सिंह,https://en.wikipedia.org/wiki/Yuvraj_Singh,भारत,तिलकरत्ने दिलशान,https://en.wikipedia.org/wiki/Tillakaratne_Dilshan,श्रीलंका,"जहीर खान, शाहिद अफरीदी",https://en.wikipedia.org/wiki/Zaheer_Khan; https://en.wikipedia.org/wiki/Shahid_Afridi,"भारत, पाकिस्तान",R1,R13
P6,"Individual tournament (like IPL 2017, 16, 15, World Cup 2011,15,09... etc)",2007 क्रिकेट विश्व कप,https://en.wikipedia.org/wiki/2007_Cricket_World_Cup,https://en.wikipedia.org/wiki/2007_Cricket_World_Cup#/media/File:2007_Cricket_World_Cup_logo.svg,2007 का क्रिकेट विश्व कप (जिसे आधिकारिक तौर पर आईसीसी क्रिकेट विश्व कप 2007 के रूप में जाना जाता है) क्रिकेट विश्व कप टूर्नामेंट का 9वां संस्करण था जो एक दिवसीय अंतर्राष्ट्रीय (वनडे) प्रारूप में 13 मार्च से 28 अप्रैल 2007 तक वेस्टइंडीज में आयोजित हुआ था।,13 March–28 April,वन डे इंटरनेशनल,ऑस्ट्रेलिया (चौथा खिताब),R2,श्रीलंका,R13,16,वेस्ट इंडीज,SF98,,,,,1975,P26,England,West Indies (1st title),R3,Australia,1979,P27,England,West Indies (2nd title),R3,England,1983,P2,"England, Wales",India (1st title),R1,West Indies,1987,P16,"India, Pakistan",Australia (1st title),R2,England,1992,P17,"Australia, New Zealand",Pakistan (1st title),R8,England,1996,P3,"India, Pakistan, Sri Lanka",Sri Lanka (1st title),R13,Australia,1999,P4,"England, Scotland, Ireland, Netherlands, Wales",Australia (2nd title),R2,Pakistan,2003,P5,"South Africa, Zimbabwe, Kenya",Australia (3rd title),R2,India,2007,P6,West Indies,Australia (4th title),R2,Sri Lanka,2011,P7,"India, Sri Lanka, Bangladesh",India (2nd title),R1,Sri Lanka,2015,P8,"Australia, New Zealand",Australia (5th title),R2,New Zealand,2019,P18,,,,,ग्लेन मैकग्रा,https://en.wikipedia.org/wiki/Glenn_McGrath,ऑस्ट्रेलिया,मैथ्यू हेडन,https://en.wikipedia.org/wiki/Matthew_Hayden,ऑस्ट्रेलिया,ग्लेन मैकग्रा,https://en.wikipedia.org/wiki/Glenn_McGrath,ऑस्ट्रेलिया,R2,R13
P5,"Individual tournament (like IPL 2017, 16, 15, World Cup 2011,15,09... etc)",2003 क्रिकेट विश्व कप,https://en.wikipedia.org/wiki/2003_Cricket_World_Cup,https://en.wikipedia.org/wiki/2003_Cricket_World_Cup#/media/File:Cricket_World_Cup_Logo_2003.svg,"2003 का क्रिकेट विश्व कप आठवां क्रिकेट विश्व कप था, जिसे अंतर्राष्ट्रीय क्रिकेट परिषद (आईसीसी) ने आयोजित किया था। इसकी मेजबानी दक्षिण अफ्रीका, जिम्बाब्वे और केन्या ने मिल कर की थी।",9 February–23 March,वन डे इंटरनेशनल,ऑस्ट्रेलिया (तीसरा खिताब),R2,भारत,R1,14,दक्षिण अफ्रीका,G6,जिम्बाब्वे,,केन्या,,1975,P26,England,West Indies (1st title),R3,Australia,1979,P27,England,West Indies (2nd title),R3,England,1983,P2,"England, Wales",India (1st title),R1,West Indies,1987,P16,"India, Pakistan",Australia (1st title),R2,England,1992,P17,"Australia, New Zealand",Pakistan (1st title),R8,England,1996,P3,"India, Pakistan, Sri Lanka",Sri Lanka (1st title),R13,Australia,1999,P4,"England, Scotland, Ireland, Netherlands, Wales",Australia (2nd title),R2,Pakistan,2003,P5,"South Africa, Zimbabwe, Kenya",Australia (3rd title),R2,India,2007,P6,West Indies,Australia (4th title),R2,Sri Lanka,2011,P7,"India, Sri Lanka, Bangladesh",India (2nd title),R1,Sri Lanka,2015,P8,"Australia, New Zealand",Australia (5th title),R2,New Zealand,2019,P18,,,,,सचिन तेंडुलकर,https://en.wikipedia.org/wiki/Sachin_Tendulkar,भारत,सचिन तेंडुलकर,https://en.wikipedia.org/wiki/Sachin_Tendulkar,भारत,चमिंडा वास,https://en.wikipedia.org/wiki/Chaminda_Vaas,श्रीलंका,R2,R1
P4,"Individual tournament (like IPL 2017, 16, 15, World Cup 2011,15,09... etc)",1999 क्रिकेट विश्व कप,https://en.wikipedia.org/wiki/1999_Cricket_World_Cup,https://en.wikipedia.org/wiki/1999_Cricket_World_Cup#/media/File:Wc99.png,"1999 का क्रिकेट विश्व कप क्रिकेट विश्व कप का सातवां संस्करण था, जिसे अंतर्राष्ट्रीय क्रिकेट परिषद (आईसीसी) ने आयोजित किया था। इसकी मेज़बानी मुख्य रूप से इंग्लैंड ने की थी, जिसमें कुछ मैच स्कॉटलैंड, आयरलैंड, वेल्स और नीदरलैंड में भी खेले गए थे।",14 May–20 June,वन डे इंटरनेशनल,ऑस्ट्रेलिया (दूसरा खिताब),R2,पाकिस्तान,R8,12,इंग्लैंड,G10,स्कॉटलैंड,,"आयरलैंड, नीदरलैंड, वेल्स",,1975,P26,England,West Indies (1st title),R3,Australia,1979,P27,England,West Indies (2nd title),R3,England,1983,P2,"England, Wales",India (1st title),R1,West Indies,1987,P16,"India, Pakistan",Australia (1st title),R2,England,1992,P17,"Australia, New Zealand",Pakistan (1st title),R8,England,1996,P3,"India, Pakistan, Sri Lanka",Sri Lanka (1st title),R13,Australia,1999,P4,"England, Scotland, Ireland, Netherlands, Wales",Australia (2nd title),R2,Pakistan,2003,P5,"South Africa, Zimbabwe, Kenya",Australia (3rd title),R2,India,2007,P6,West Indies,Australia (4th title),R2,Sri Lanka,2011,P7,"India, Sri Lanka, Bangladesh",India (2nd title),R1,Sri Lanka,2015,P8,"Australia, New Zealand",Australia (5th title),R2,New Zealand,2019,P18,,,,,लांस क्लूजनर,https://en.wikipedia.org/wiki/Lance_Klusener,दक्षिण अफ्रीका,राहुल द्रविड़,https://en.wikipedia.org/wiki/Rahul_Dravid,भारत,ज्योफ अलॉट; शेन वार्न,https://en.wikipedia.org/wiki/Geoff_Allott; https://en.wikipedia.org/wiki/Shane_Warne,न्यूजीलैंड; ऑस्ट्रेलिया,R2,R8
P3,"Individual tournament (like IPL 2017, 16, 15, World Cup 2011,15,09... etc)",1996 क्रिकेट विश्व कप,https://en.wikipedia.org/wiki/1996_Cricket_World_Cup,https://en.wikipedia.org/wiki/1996_Cricket_World_Cup#/media/File:Wills_World_Cup_1996.svg,"1996 क्रिकेट विश्व कप, जिसे उसके आधिकारिक प्रायोजकों (आईटीसी के विल्स ब्रांड) के नाम पर, विल्स वर्ल्ड कप 1996 भी कहा जाता है, छठा क्रिकेट विश्व कप था। यह पाकिस्तान और भारत द्वारा आयोजित होने वाला दूसरा, और श्रीलंका आयोजित होने वाला पहला विश्व कप था।",14 February–17 March,वन डे इंटरनेशनल,श्रीलंका (पहला खिताब),R13,ऑस्ट्रेलिया,R2,12,भारत,G3,पाकिस्तान,G5,श्रीलंका,G7,1975,P26,England,West Indies (1st title),R3,Australia,1979,P27,England,West Indies (2nd title),R3,England,1983,P2,"England, Wales",India (1st title),R1,West Indies,1987,P16,"India, Pakistan",Australia (1st title),R2,England,1992,P17,"Australia, New Zealand",Pakistan (1st title),R8,England,1996,P3,"India, Pakistan, Sri Lanka",Sri Lanka (1st title),R13,Australia,1999,P4,"England, Scotland, Ireland, Netherlands, Wales",Australia (2nd title),R2,Pakistan,2003,P5,"South Africa, Zimbabwe, Kenya",Australia (3rd title),R2,India,2007,P6,West Indies,Australia (4th title),R2,Sri Lanka,2011,P7,"India, Sri Lanka, Bangladesh",India (2nd title),R1,Sri Lanka,2015,P8,"Australia, New Zealand",Australia (5th title),R2,New Zealand,2019,P18,,,,,सनत जयसूर्या,https://en.wikipedia.org/wiki/Sanath_Jayasuriya,श्रीलंका,सचिन तेंडुलकर,https://en.wikipedia.org/wiki/Sachin_Tendulkar,भारत,अनिल कुंबले,https://en.wikipedia.org/wiki/Anil_Kumble,भारत,R13,R2
