Fact Id,Relevant Image,Heading,Fact,Read More Text,Linking article,Article ID
F1,https://en.wikipedia.org/wiki/1975_Cricket_World_Cup#/media/File:Prudential_Cup_75_logo.svg,Just 18,"Before the 1975 World Cup, only 18 ODI matches had been played between nations participating in test matches","Read more about the 1975 World Cup
",1975 World cup,
F2,https://en.wikipedia.org/wiki/1975_Cricket_World_Cup#/media/File:Prudential_Cup_75_logo.svg,Indian start,"Indian bowler, Madan Lal, bowled the first ball of the first World Cup to John Jameson of England.","Read more about the 1975 World Cup
",1975 World cup,
F3,https://en.wikipedia.org/wiki/India_national_cricket_team#/media/File:Flagcricket.jpg,Indian start,"Indian bowler, Madan Lal, bowled the first ball of the first World Cup to John Jameson of England.",Read more about the Indian Cricket team,Indian Cricket team,
F4,https://en.wikipedia.org/wiki/1975_Cricket_World_Cup#/media/File:Prudential_Cup_75_logo.svg,Infamous 36,"In the opening match for the 1975 World Cup, Sunil Gavaskar scored his infamous 36 runs off of 174 balls against England.","Read more about the 1975 World Cup
",1975 World cup,
F5,https://en.wikipedia.org/wiki/1975_Cricket_World_Cup#/media/File:Prudential_Cup_75_logo.svg,Infamous 36,"In the opening match for the 1975 World Cup, Sunil Gavaskar scored his infamous 36 runs off of 174 balls against England.",Read more about the Indian Cricket team,Indian Cricket team,
F6,https://en.wikipedia.org/wiki/1979_Cricket_World_Cup#/media/File:Prudential_Cup_79_logo.svg,No African nation,"As East Africa did not qualify for the 1979 World Cup, this was the first World Cup with no participation from the African region","Read more about the 1979 World Cup
",1979 World cup,
F7,https://en.wikipedia.org/wiki/1979_Cricket_World_Cup#/media/File:Prudential_Cup_79_logo.svg,Lowest score,"Canada recorded the lowest score in a World Cup match with 45 runs against England. They went and broke it during the 2003 World Cup, against Sri Lanka, when they managed to score only 36 runs.-","Read more about the 1979 World Cup
",1979 World cup,
F8,https://en.wikipedia.org/wiki/1979_Cricket_World_Cup#/media/File:Prudential_Cup_79_logo.svg,No wins for India,"India failed to win a single match in the competition, the only test-playing nation to do so","Read more about the 1979 World Cup
",1979 World cup,
F9,https://en.wikipedia.org/wiki/India_national_cricket_team#/media/File:Flagcricket.jpg,No wins for India,"India failed to win a single match in the competition, the only test-playing nation to do so","Read more about the 1979 World Cup
",Indian Cricket team,
F10,https://en.wikipedia.org/wiki/1983_Cricket_World_Cup#/media/File:Prudential_Cup_83_logo.svg,No ‘Man of the Series’,No ‘Man of the Series’ award was awarded during the 1983 World Cup .,"Read more about the 1983 World Cup
",1983 World cup,
F11,https://en.wikipedia.org/wiki/1983_Cricket_World_Cup#/media/File:Prudential_Cup_83_logo.svg,Beyond the group stage,India had never qualified beyond the group stages in the previous editions of the tournament but went on to win the 1983 World Cup,"Read more about the 1983 World Cup
",1983 World cup,
F12,https://en.wikipedia.org/wiki/India_national_cricket_team#/media/File:Flagcricket.jpg,Beyond the group stage,India had never qualified beyond the group stages in the previous editions of the tournament but went on to win the 1983 World Cup,Read more about the Indian Cricket team,Indian Cricket team,
