Fact Id,Relevant Image,Heading,Fact,Read More Text,Linking article,Article ID
F1,https://en.wikipedia.org/wiki/1975_Cricket_World_Cup#/media/File:Prudential_Cup_75_logo.svg,வெறும் 18,"1975 உலகக் கோப்பைக்கு முன், டெஸ்ட் போட்டிகளில் பங்கேற்ற நாடுகளுக்கு இடையே 18 ஒருநாள் சர்வதேசப் போட்டிகள் மட்டுமே நடத்தப்பட்டன.",1975 உலகக் கோப்பையைப் பற்றி மேலும் வாசிக்க,1975 உலகக் கோப்பை,P26
F2,https://en.wikipedia.org/wiki/1975_Cricket_World_Cup#/media/File:Prudential_Cup_75_logo.svg,இந்தியத் துவக்கம்,இந்தியப் பந்து வீச்சாளர் மதன் லால் இங்கிலாந்தின் ஜான் ஜேம்சனுக்கு முதல் உலகக் கோப்பையின் முதல் பந்தை  வீசினார்.,1975 உலகக் கோப்பையைப் பற்றி மேலும் வாசிக்க,1975 உலகக் கோப்பை,P26
F3,https://en.wikipedia.org/wiki/India_national_cricket_team#/media/File:Flagcricket.jpg,இந்தியத் துவக்கம்,இந்தியப் பந்து வீச்சாளர் மதன் லால் இங்கிலாந்தின் ஜான் ஜேம்சனுக்கு முதல் உலகக் கோப்பையின் முதல் பந்தை  வீசினார்.,இந்தியக் கிரிக்கெட் அணி பற்றி மேலும் வாசிக்க,இந்தியக் கிரிக்கெட் அணி,R1
F4,https://en.wikipedia.org/wiki/1975_Cricket_World_Cup#/media/File:Prudential_Cup_75_logo.svg,பிரபலமற்ற 36,1975 உலகக் கோப்பையின் தொடக்க ஆட்டத்தில் சுனில் கவாஸ்கர் இங்கிலாந்துக்கு எதிரான ஆட்டத்தில் 174 பந்துகளில் 36 ரன்கள் அடித்தார்.,1975 உலகக் கோப்பையைப் பற்றி மேலும் வாசிக்க,1975 உலகக் கோப்பை,P26
F5,https://en.wikipedia.org/wiki/1975_Cricket_World_Cup#/media/File:Prudential_Cup_75_logo.svg,பிரபலமற்ற 36,1976 உலகக் கோப்பையின் தொடக்க ஆட்டத்தில் சுனில் கவாஸ்கர் இங்கிலாந்துக்கு எதிரான ஆட்டத்தில் 174 பந்துகளில் 36 ரன்கள் அடித்தார்.,இந்தியக் கிரிக்கெட் அணி பற்றி மேலும் வாசிக்க,இந்தியக் கிரிக்கெட் அணி,R1
F6,https://en.wikipedia.org/wiki/1979_Cricket_World_Cup#/media/File:Prudential_Cup_79_logo.svg,ஆப்பிரிக்க நாடுகள் இல்லை,"1979 ஆம் ஆண்டு உலகக் கோப்பையில் கிழக்கு ஆப்பிரிக்கா தகுதி பெறாத நிலையில், ஆப்பிரிக்கப் பிராந்தியத்திலிருந்து யாரும் பங்கேற்காத முதல் உலகக் கோப்பை இதுவாகும்.",1979 உலகக் கோப்பையைப் பற்றி மேலும் வாசிக்க,1979 உலகக் கோப்பை,P27
F7,https://en.wikipedia.org/wiki/1979_Cricket_World_Cup#/media/File:Prudential_Cup_79_logo.svg,குறைந்த ஸ்கோர்,இங்கிலாந்திற்கு எதிராக 45 ரன்களை எடுத்து உலகக் கோப்பைப் போட்டியில் கனடா மிகக் குறைந்த ஸ்கோரைப் பதிவு செய்தது. இலங்கை அணிக்கு எதிரான 2003 உலகக் கோப்பைப் போட்டியில் அவர்கள் 36 ரன்கள் மட்டுமே எடுத்த அந்தச் சாதனையையும் உடைத்தனர்.,1979 உலகக் கோப்பையைப் பற்றி மேலும் வாசிக்க,1979 உலகக் கோப்பை,P27
F8,https://en.wikipedia.org/wiki/1979_Cricket_World_Cup#/media/File:Prudential_Cup_79_logo.svg,இந்தியாவுக்கு வெற்றிகள் இல்லை,"இந்தப் போட்டியில் டெஸ்ட் ஆடும் நாடுகளில் இந்தியா மட்டுமே ஒரு ஆட்டத்தில் கூட வெற்றி பெறத் தவறியது, ",1979 உலகக் கோப்பையைப் பற்றி மேலும் வாசிக்க,1979 உலகக் கோப்பை,P27
F9,https://en.wikipedia.org/wiki/India_national_cricket_team#/media/File:Flagcricket.jpg,இந்தியாவுக்கு வெற்றிகள் இல்லை,"இந்தப் போட்டியில் டெஸ்ட் ஆடும் நாடுகளில் இந்தியா மட்டுமே ஒரு ஆட்டத்தில் கூட வெற்றி பெறத் தவறியது, ",1979 உலகக் கோப்பையைப் பற்றி மேலும் வாசிக்க,இந்தியக் கிரிக்கெட் அணி,R1
F10,https://en.wikipedia.org/wiki/1983_Cricket_World_Cup#/media/File:Prudential_Cup_83_logo.svg,தொடர் நாயகன்' விருது இல்லை,"1983 ஆம் ஆண்டு உலகக் கோப்பை போட்டியில் ""தொடர் நாயகன்"" விருது வழங்கப்படவில்லை.",1983 உலகக் கோப்பையைப் பற்றி மேலும் வாசிக்க,1983 உலகக் கோப்பை,P2
F11,https://en.wikipedia.org/wiki/1983_Cricket_World_Cup#/media/File:Prudential_Cup_83_logo.svg,குரூப் நிலைகளுக்கு அப்பால்,இந்த உலகக் கோப்பைப் போட்டியின் முந்தைய போட்டிகளில் குரூப் நிலைகளுக்கு அப்பால் இந்தியா தகுதிபெறவில்லை ஆனால் 1983 உலகக் கோப்பையை வென்றது.,1983 உலகக் கோப்பையைப் பற்றி மேலும் வாசிக்க,1983 உலகக் கோப்பை,P2
F12,https://en.wikipedia.org/wiki/India_national_cricket_team#/media/File:Flagcricket.jpg,குரூப் பிரிவுகளின் நிலைகளுக்கு அப்பால்,இந்த உலகக் கோப்பைப் போட்டியின் முந்தைய போட்டிகளில் குரூப் நிலைகளுக்கு அப்பால் இந்தியா தகுதிபெறவில்லை ஆனால் 1983 உலகக் கோப்பையை வென்றது.,இந்தியக் கிரிக்கெட் அணி பற்றி மேலும் வாசிக்க,இந்தியக் கிரிக்கெட் அணி,R1
F13,https://en.wikipedia.org/wiki/1983_Cricket_World_Cup#/media/File:Prudential_Cup_83_logo.svg,குறைந்த ஸ்கோர் வெற்றி,"இறுதிப் போட்டியில் இந்தியா 183 ரன்கள் எடுத்தது, இது உலகக் கோப்பை இறுதிப் போட்டியில் ஒரு நாடு எடுத்த மிகக் குறைந்த ஸ்கோர் ஆகும்.",இந்தியக் கிரிக்கெட் அணி பற்றி மேலும் வாசிக்க,இந்தியக் கிரிக்கெட் அணி,R1
F14,https://en.wikipedia.org/wiki/1987_Cricket_World_Cup#/media/File:Worldcup1987.jpg,50 ஓவர்கள்,இது 60-க்குப் பதிலாக 50 ஓவர்களில் விளையாடிய முதல் உலகக் கோப்பை ஆகும்.,1987 உலகக் கோப்பையைப் பற்றி மேலும் வாசிக்க,1987 உலகக் கோப்பை,P16
F15,https://en.wikipedia.org/wiki/1987_Cricket_World_Cup#/media/File:Worldcup1987.jpg,அருகாமை வெற்றி,கொல்கத்தாவின் ஈடன் கார்டன்ஸில் நடந்த உலகக் கோப்பை இறுதி ஆட்டத்தில் இங்கிலாந்துக்கு எதிராக ஆஸ்திரேலியா 7 ரன்கள் வித்தியாசத்தில் வெற்றி பெற்றது.,1987 உலகக் கோப்பையைப் பற்றி மேலும் வாசிக்க,1987 உலகக் கோப்பை,P16
F16,https://en.wikipedia.org/wiki/2007_Cricket_World_Cup#/media/File:Australian_World_Cup_treble.jpg,அருகாமை வெற்றி,கொல்கத்தாவின் ஈடன் கார்டன்ஸில் நடந்த உலகக் கோப்பை இறுதி ஆட்டத்தில் இங்கிலாந்துக்கு எதிராக ஆஸ்திரேலியா 7 ரன்கள் வித்தியாசத்தில் வெற்றி பெற்றது.,ஆஸ்திரேலியக் கிரிக்கெட் அணி பற்றி மேலும் வாசிக்க,ஆஸ்திரேலியக் கிரிக்கெட் அணி,R2
F17,https://en.wikipedia.org/wiki/1987_Cricket_World_Cup#/media/File:Worldcup1987.jpg,தோற்கடிக்க முடியாத மேற்கிந்திய தீவுகளின் வீழ்ச்சி,உலகக் கோப்பைத் தொடரில் முதல் தடவையாக 1987ஆம் ஆண்டில் வெஸ்ட் இண்டீஸ் குரூப் நிலைகளுக்குக் கூட தகுதி பெற முடியவில்லை.,1987 உலகக் கோப்பையைப் பற்றி மேலும் வாசிக்க,1987 உலகக் கோப்பை,P16
F18,https://en.wikipedia.org/wiki/1992_Cricket_World_Cup#/media/File:World_Cup_1992_logo.svg,வண்ணங்கள்,"1992 ஆம் ஆண்டு உலகக் கோப்பையில் வீரர்களுக்கு வண்ண ஆடைகள், வெள்ளைக் கிரிக்கெட் பந்துகள் மற்றும் கருப்பு சைட் ஸ்கிரீன் முதல் முறையாக இடம்பெற்றன.",1992 உலகக் கோப்பையைப் பற்றி மேலும் வாசிக்க,1992 உலகக் கோப்பை,P17
F19,https://en.wikipedia.org/wiki/1992_Cricket_World_Cup#/media/File:World_Cup_1992_logo.svg,நிறவெறி முடிவு,நிறவெறி முடிவடைந்த பிறகு 1992 உலகக் கோப்பையில் தென்னாப்பிரிக்கா முதன் முதலாகப் பங்கேற்றது,1992 உலகக் கோப்பையைப் பற்றி மேலும் வாசிக்க,1992 உலகக் கோப்பை,P17
F20,https://en.wikipedia.org/wiki/South_Africa_national_cricket_team#/media/File:South_African_Cricket_team_2008.jpg,நிறவெறி முடிவு,நிறவெறி முடிவடைந்த பிறகு 1992 உலகக் கோப்பையில் தென்னாப்பிரிக்கா முதன் முதலாகப் பங்கேற்றது,தென்னாப்பிரிக்கக் கிரிக்கெட் அணி பற்றி மேலும் வாசிக்க,தென்னாப்பிரிக்கக் கிரிக்கெட் அணி,R14
F21,https://en.wikipedia.org/wiki/1992_Cricket_World_Cup#/media/File:World_Cup_1992_logo.svg,1 பந்தில் 22 ரன்கள்,"இங்கிலாந்து மற்றும் தென்னாப்பிரிக்கா இடையே மழையால் பாதிக்கப்பட்ட அரையிறுதிப் போட்டியில், இறுதி ஸ்கோர் ""மிகவும் ஆக்கப்பூர்வமான ஓவர்கள்"" முறையைப் பயன்படுத்திக் கணக்கிடப்பட்டது -   13 பந்துகளில் 22 ரன்கள் என இருந்ததை 1 பந்தில் 22 ரன்கள் எடுக்க வேண்டும் எனக் குறைத்தது, அந்த வருடத்தில் தென்னாப்பிரிக்காவின் உலகக் கோப்பைக் கனவை முடிவுக்குக் கொண்டு வந்தது.",1992 உலகக் கோப்பையைப் பற்றி மேலும் வாசிக்க,1992 உலகக் கோப்பை,P17
F22,https://en.wikipedia.org/wiki/South_Africa_national_cricket_team#/media/File:South_African_Cricket_team_2008.jpg,2 பந்தில் 22 ரன்கள்,"இங்கிலாந்து மற்றும் தென்னாப்பிரிக்கா இடையே மழையால் பாதிக்கப்பட்ட அரையிறுதிப் போட்டியில், இறுதி ஸ்கோர் ""மிகவும் ஆக்கப்பூர்வமான ஓவர்கள்"" முறையைப் பயன்படுத்திக் கணக்கிடப்பட்டது -   13 பந்துகளில் 22 ரன்கள் என இருந்ததை 1 பந்தில் 22 ரன்கள் எடுக்க வேண்டும் எனக் குறைத்தது, அந்த வருடத்தில் தென்னாப்பிரிக்காவின் உலகக் கோப்பைக் கனவை முடிவுக்குக் கொண்டு வந்தது.",தென்னாப்பிரிக்கக் கிரிக்கெட் அணி பற்றி மேலும் வாசிக்க,தென்னாப்பிரிக்கக் கிரிக்கெட் அணி,R14
F23,https://en.wikipedia.org/wiki/1996_Cricket_World_Cup#/media/File:Wills_World_Cup_1996.svg,எளிதான வெற்றிகள்,"இலங்கை, கொழும்பில் பயங்கரவாதத் தாக்குதல்கள் காரணமாக இலங்கைக்கு எதிராக ஆஸ்திரேலியா மற்றும் மேற்கிந்தியத் தீவுகள் தங்கள் போட்டிகளை இழந்தன.",1996 உலகக் கோப்பையைப் பற்றி மேலும் வாசிக்க,1996 உலகக் கோப்பை,P3
F24,https://en.wikipedia.org/wiki/1996_Cricket_World_Cup#/media/File:Wills_World_Cup_1996.svg,போட்டி நடத்தியவர் பெற்ற வெற்றி,"1996 உலகக் கோப்பைப் போட்டியில், முதல் முறையாகப் போட்டியை இணைந்து நடத்திய இலங்கையே உலகக் கோப்பையை வென்றது.",1996 உலகக் கோப்பையைப் பற்றி மேலும் வாசிக்க,1996 உலகக் கோப்பை,P3
F25,https://en.wikipedia.org/wiki/Sri_Lanka_national_cricket_team#/media/File:Sri_Lanka_Cricket_Cap_Insignia.svg,இலங்கை கிரிக்கெட் அணி,"1996 உலகக் கோப்பைப் போட்டியில், முதல் முறையாகப் போட்டியை இணைந்து நடத்திய இலங்கையே உலகக் கோப்பையை வென்றது.",1996 உலகக் கோப்பையைப் பற்றி மேலும் வாசிக்க,இலங்கை கிரிக்கெட் அணி,R13
F26,https://en.wikipedia.org/wiki/1999_Cricket_World_Cup#/media/File:Wc99.png,ட்யூக் பந்து சர்ச்சை,"1999 ஆம் ஆண்டு உலகக் கோப்பையில் முதல் முறையாக அறிமுகப்படுத்தப்பட்ட 'ட்யூக்' என்ற கிரிக்கெட் பந்து, ஒரு சர்ச்சைக்குரிய வகையான பந்து ஆகும்.. அவை கடினமாக இருப்பதோடு, கூடுதலாக ஸ்விங்கும் ஆகிறது..",1999 உலகக் கோப்பையைப் பற்றி மேலும் வாசிக்க,1999 உலகக் கோப்பை,P4
F27,https://en.wikipedia.org/wiki/1999_Cricket_World_Cup#/media/File:Wc99.png,போரின் போது,"இந்த உலகக் கோப்பைப் போட்டியின் போது, இந்தியாவும் பாகிஸ்தானும் அதிகாரப்பூர்வமாகப் போரில் ஈடுபட்டிருந்தன, அரசியல் சூழ்நிலையில், இரு நாடுகள் போரில் இருக்கும்போதும் ஒரு விளையாட்டில் ஈடுபட்டிருப்பது இந்த முறை மட்டுமே.",1999 உலகக் கோப்பையைப் பற்றி மேலும் வாசிக்க,1999 உலகக் கோப்பை,P4
F28,https://en.wikipedia.org/wiki/India_national_cricket_team#/media/File:Flagcricket.jpg,போரின் போது,"இந்த உலகக் கோப்பைப் போட்டியின் போது, இந்தியாவும் பாகிஸ்தானும் அதிகாரப்பூர்வமாகப் போரில் ஈடுபட்டிருந்தன, அரசியல் சூழ்நிலையில், இரு நாடுகள் போரில் இருக்கும்போதும் ஒரு விளையாட்டில் ஈடுபட்டிருப்பது இந்த முறை மட்டுமே.",இந்தியக் கிரிக்கெட் அணி பற்றி மேலும் வாசிக்க,இந்தியக் கிரிக்கெட் அணி,R1
F29,https://en.wikipedia.org/wiki/1999_Cricket_World_Cup#/media/File:Wc99.png,டை,"அரையிறுதி ஆட்டத்தில் டை ஆனாலும், ஆஸ்திரேலியாவின் 'சூப்பர் சிக்ஸில்' முதலிடம் பெற்றது இறுதிப்போட்டிக்குச் செல்ல உதவியது, தென் ஆப்பிரிக்காவுடன் ஒப்பிடுகையில் அது அதிக ரன்ரேட்டைப் பெற்றிருந்தது.",1999 உலகக் கோப்பையைப் பற்றி மேலும் வாசிக்க,1999 உலகக் கோப்பை,P4
F30,https://en.wikipedia.org/wiki/2003_Cricket_World_Cup#/media/File:Cricket_World_Cup_Logo_2003.svg,முதல் ஆப்பிரிக்க உலக கோப்பை,2003 உலகக் கோப்பை முதன்முறை ஆப்பிரிக்காவில் நடத்தப்பட்டது.,2003 உலகக் கோப்பையைப் பற்றி மேலும் வாசிக்க,2003 உலகக் கோப்பை,P5
F31,https://en.wikipedia.org/wiki/2003_Cricket_World_Cup#/media/File:Cricket_World_Cup_Logo_2003.svg,கென்யா,கென்யா உலகக் கோப்பையின் அரை இறுதிப் போட்டியில் ஆடிய ஒரே டெஸ்ட் ஆடாத நாடாகும்.,2003 உலகக் கோப்பையைப் பற்றி மேலும் வாசிக்க,2003 உலகக் கோப்பை,P5
F32,https://en.wikipedia.org/wiki/2003_Cricket_World_Cup#/media/File:Cricket_World_Cup_Logo_2003.svg,ஷேன் வார்னுக்கு தடை,"ஆஸ்திரேலிய நட்சத்திர வீரர் ஷேன் வார்ன், இக்கட்டான சூழ்நிலைகளில், ஊக்க மருந்து பரிசோதனைக்குப் பின், போட்டி தொடங்குவதற்கு முன்பே வீட்டிற்கு அனுப்பப்பட்டார்.",2003 உலகக் கோப்பையைப் பற்றி மேலும் வாசிக்க,2003 உலகக் கோப்பை,P5
