ID,Title
P1,Cricket World cup
P2, 1983 cricket world cup
P3,1996 cricket world cup
P4,1999 Cricket world cup
P5,2003 cricket world cup
P6,2007 cricket world cup
P7,2011 cricket world cup
P8,2015 cricket world cup
P9,ICC t20 world cup
P10,ICC Champions trophy
P11,IPL
P12,IPL 2010
P13,IPL 2011
P14,IPL 2016
P15,IPL 2017
P16,1987 cricket world cup
P17,1992 cricket world cup
P18,2019 Cricket world cup
P19,IPL 2008
P20,IPL 2009
P21,IPL 2012
P22,IPL 2013
P23,IPL 2014
P24,IPL 2015
P25,IPL 2018
P26,1975 cricket world cup
P27,1979 cricket world cup 
G1,Bangalore
G2,Mumbai
G3,India
G4,Australia
G5,Pakistan
G6,South Africa
G7,Sri Lanka
G8,New Zealand
G10,England
G11,Chennai
G12,Kolkatta
G13,Hyderabad
G14,Jaipur
G15,Mohali
G16,Delhi
G17,Ranchi
G18,Chandigarh
O1,Virat Kohli
O2,M.S Dhoni
O3,Rohit sharma
O4,Shikhar Dhawan
O5,Sachin Tendulkar
O6,Kapil Dev
O7,Anil Kumble
O8,Sourav ganguly
O9,Rahul dravid
O10,Hardik Pandya
O11,Jasprit Bumrah
O12,Kedar jadhav
O13,Yuzvendra chahal
O14,Kuldeep yadav
O15,Bhuvaneshwar kumar
O16,Ajinkya rahane
O17,Mohammed shami
O18,K L rahul
O19,Dinesh Karthik
O20,Ravindra jadeja
O21,Ravi sashtri
O22,Stephen fleming
O23,Gary kristen
O24,Mahela jayawardene
O25,Glenn Mcgrath
O26,David warner
O27,Chris gayle
O28,Wasim Akram
O29,AB de villers
O30,Kane williamson
O31,Ben stokes
O32,Jos Butler
O33,Anushka sharma
O34,Shah Rukh Khan
O35,Deepika Pallikal
R1,Indian national Cricket team
R2,Australian cricket team
R3,West Indies Cricket team
R4,England cricket team
R5,Chennai super kings
R6,Royal challengers Bangalore
R7,Mumbai Indians
R8,Pakistan Cricket Team
R9,Kings 11 punjab
R10,Kolkatta knight riders
R11,Rajastan Royals
R12,Sunrisers Hyderabad
R17,Afghanistan Cricket Team
R18,Bangladesh Cricket team
R13,Sri Lankan cricket team
R14,South African Cricket Team
R15,New zealand Cricket team
R16,Delhi Capitals
