Article Title,Article Code
Cricket World cup,P1
1983 cricket world cup,P2
1996 cricket world cup,P3
1999 Cricket world cup,P4
2003 cricket world cup,P5
2007 cricket world cup,P6
2011 cricket world cup,P7
2015 cricket world cup,P8
ICC t20 world cup,P9
ICC Champions trophy,P10
IPL,P11
IPL 2010,P12
IPL 2011,P13
IPL 2016,P14
IPL 2017,P15
Bangalore,G1
Mumbai,G2
India,G3
Australia,G4
Pakistan,G5
South Africa,G6
Sri Lanka,G7
New Zealand,G8
England,G10
Virat Kohli,O1
M.S Dhoni,O2
Rohit sharma,O3
Shikhar Dhawan,O4
Sachin Tendulkar,O5
Kapil Dev,O6
Anil Kumble,O7
Sourav ganguly,O8
Rahul dravid,O9
