Q. No,Questions,Answer A,Answer B,Correct Answer, Leading Article ,Article ID
Q1,क्रिकेट विश्व कप का पहला संस्करण कब आयोजित हुआ?,1975,1973,A,1975 cricket world cup,P26
Q2,पुरुषों के प्रथम क्रिकेट विश्व कप की मेज़बानी किस देश ने की थी?,इंग्लैंड,वेस्टइंडीज़,A,England,G10
Q3,पुरुषों का प्रथम क्रिकेट विश्व कप किसने जीता?,ऑस्ट्रेलिया,वेस्टइंडीज़,B,West Indies cricket team,R3
Q4,1975 विश्व कप को औपचारिक रूप से क्या कहा गया?,प्रूडेंशियल वर्ल्ड कप,आईसीसी विश्व कप,A,1975 cricket world cup,P26
Q5,प्रथम क्रिकेट विश्व कप से पहले कितने अंतरराष्ट्रीय एकदिवसीय मैच खेले जा चुके थे?,18,25,A,1975 cricket world cup,P26
Q6,इनमें से किस टीम ने 1975 क्रिकेट विश्व कप में हिस्सा लिया था?,पूर्वी अफ़्रीका,दक्षिण अफ़्रीका,A,South African Cricket team,R14
Q7,1975 क्रिकेट विश्व कप में किस खिलाड़ी ने सर्वाधिक रन बनाए थे?,क्लाइव लॉयड,ग्लेन टर्नर,B,West Indies cricket team,R3
Q8,किन टीमों ने प्रथम क्रिकेट विश्व कप का पहला मैच खेला था?,भारत और इंग्लैंड,इंग्लैंड और वेस्टइंडीज़,A,Indian Cricket team,R1
Q9,"इंग्लैंड के ख़िलाफ उद्घाटन मैच में,सुनील गावस्कर ने कितनी गेंदों में 36 रन बनाए थे?",174,224,A,Indian Cricket team,R1
Q10,1975 में हुए प्रथम विश्व कप में कितने मैच खेले गए थे?,15,19,A,1975 cricket world cup,P26
Q11,1979 विश्व कप की मेज़बानी किस देश ने की थी?,इंग्लैंड,वेस्टइंडीज़,A,England,G10
Q12,किन दो टीमों ने टेस्ट टीम का दर्जा न होने के बावजूद 1979 क्रिकेट विश्व कप में अपनी जगह बनाई थी?,"श्रीलंका, कनाडा","कनाडा, पूर्वी अफ़्रीका",A,Srilankan Cricket team,R13
Q13,1979 में क्रिकेट विश्व कप किसने जीता था?,इंग्लैंड,वेस्टइंडीज़,B,West Indies Cricket team,R3
Q14,1979 क्रिकेट विश्व कप में किस खिलाड़ी ने सर्वाधिक रन बनाए थे?,क्लाइव लॉयड,गॉर्डन ग्रीनिज,B,West Indies Cricket team,R3
Q15,1983 पुरुष विश्व कप की मेज़बानी किस देश ने की थी?,इंग्लैंड,वेस्टइंडीज़,A,England,G10
Q16,1983 क्रिकेट विश्व कप के फ़ाइनल मुक़ाबले में भारत ने किस देश को हराया था?,ऑस्ट्रेलिया,वेस्टइंडीज़,B,West Indies Cricket team,R3
Q17,1983 विश्व कप के फ़ाइनल मुक़ाबले में किस खिलाड़ी को 'मैन ऑफ़ द मैच' चुना गया था?,मोहिंदर अमरनाथ,कपिल देव,A,Indian Cricket team,R1
Q18,1983 विश्व कप के फ़ाइनल मुक़ाबले में भारत ने वेस्टइंडीज़ के सामने कितने रनों का लक्ष्य रखा था?,187,183,B,Indian Cricket team,R1
Q19,1983 क्रिकेट विश्व कप में कितने मैच खेले गए थे?,15,19,B,1983 cricket world cup,P2
Q20,"1989 विश्व कप के दौरान, एक पारी में कितने ओवर थे?",60,50,B,1987 Cricket world cup,P16
Q21,1987 विश्व कप का फ़ाइनल मैच कहां खेला गया था?,फ़िरोज़ शाह कोटला दिल्ली,ईडन गार्डन्स कोलकाता,B,India,G3
Q22,1987 क्रिकेट विश्व कप किसने जीता था?,ऑस्ट्रेलिया,पाकिस्तान,A,Australian Cricket team,R2
Q23,1992 में किस खिलाड़ी ने क्रिकेट विश्व कप इतिहास की पहली हैट-ट्रिक ली थी?,चेतन शर्मा,मदन लाल,A,Indian Cricket team,R1
Q24,किस विश्व कप के दौरान पहली बार रंगीन कपड़ों का इस्तेमाल हुआ था?,1992,1996,A,1992 cricket world cup,P17
Q25,1992 क्रिकेट विश्व कप किसने जीता था?,पाकिस्तान,न्यूज़ीलैंड,A,Pakistan cricket team,R8
Q26,किस देश ने 1992 में पहली बार विश्व कप में हिस्सा लिया था?,श्रीलंका,दक्षिण अफ़्रीका,B,South African Cricket team,R14
Q27,1992 विश्व कप के सेमी-फ़ाइनल मुक़ाबले में बारिश के चलते मैच में हुई देरी की वजह से किस देश को 1 गेंद में 22 रन बनाने थे?,दक्षिण अफ़्रीका,इंग्लैंड,A,South African Cricket team,R14
Q28,1992 क्रिकेट विश्व कप की मेज़बानी किस देश ने की थी?,"ऑस्ट्रेलिया , न्यूज़ीलैंड","भारत, पाकिस्तान",A,Australia,G4
Q29,1992 विश्व कप के फ़ाइनल मुकाब़ले के बारे में क्या ख़ास है?,लाइट्स के बीच खेला गया पहला विश्व कप फ़ाइनल,            पहला  विश्व कप फ़ाइनल जिसमें पहले बल्लेबाज़ी करने वाली टीम ने जीत हासिल की,A,1992 cricket world cup,P17
Q30,1992 में भारत और श्रीलंका के बीच मुक़ाबले में मैच के दौरान बारिश हो जाने के बाद मैदान सुखाने के लिए किस तरीक़े का इस्तेमाल किया गया था?,एक सुपर सॉपर मशीन,एक हेलिकॉप्टर,B,1992 cricket world cup,P17
Q31,1992 विश्व कप में न्यूज़ीलैंड द्वारा बल्लेबाज़ी की कौन सी तकनीक का पहली बार इस्तेमाल किया गया था?,पिंच हिटिंग,रिवर्स स्वीप,A,New zealand cricket team,R15
Q32,1996 विश्व कप और किस रूप में देखा जाता है?,द विल्स वर्ल्ड कप,द रिलायंस वर्ल्ड कप,A,1996 Cricket World cup,P3
Q33,1996 में भारत और श्रीलंका के बीच सेमी-फ़ाइनल मुक़ाबले में श्रीलंका अपने आप जीत गया। क्यों?,बारिश के कारण बाधित होने की वजह से,भीड़ द्वारा बाधित होने की वजह से,B,1996 Cricket World cup,P3
Q34,1996 विश्व कप में किसने सर्वाधिक रन बनाए?,सचिन तेंदुलकर,अरविंद डिसिल्वा,A,Sachin tendulkar,O5
Q35,1996 क्रिकेट विश्व कप किसने जीता?,श्रीलंका,ऑस्ट्रेलिया,A,Srilankan Cricket team,R13
Q36,1996 विश्व कप में कितने मैच खेले गए थे?,37,26,A,1996 Cricket World cup,P3
Q37,1999 क्रिकेट विश्व कप की मेज़बानी किस देश ने की थी?,इंग्लैंड,भारत,A,England,G10
Q38,1999 विश्व कप में किस खिलाड़ी को 'मैन ऑफ़ द सीरीज़' चुना गया?,लांस क्लूज़नर,सचिन तेंदुलकर,A,1999 cricket world cup,P4
Q39,1999 क्रिकेट विश्व कप के दौरान किस तरह की क्रिकेट बॉल का पहली बार इस्तेमाल हुआ?,ड्यूक गेंद,कोकाबुरा गेंद,A,1999 cricket world cup,P4
Q40,1999 में विश्व कप किसने जीता?,ऑस्ट्रेलिया,दक्षिण अफ़्रीका,A,Australia Cricket team,R2
Q41,1999 क्रिकेट विश्व कप में कौन सा देश सह-मेज़बान था?,नीदरलैंड्स,वेस्टइंडीज़,A,1999 cricket world cup,P4
Q42,1999 क्रिकेट विश्व कप में किस खिलाड़ी ने सर्वाधिन रन बनाए थे?,राहुल द्रविड़,सौरव गांगुली,A,Rahul Dravid,O9
Q43,2003 विश्व कप क्यों ख़ास था?,अफ़्रीका में पहला विश्व कप,8 से ज़्यादा टीमों के साथ पहला विश्व कप,A,2003 cricket world cup,P5
Q44,"2003 क्रिकेट विश्व कप में एक भी टेस्ट न खेलने वाले किस देश ने सेमी-फ़ाइनल मुक़ाबलों में जगह बनाई थी, ऐसा करने वाला वह एकमात्र देश है?",केन्या,जिम्बाब्वे,A,2003 cricket world cup,P5
